workspace,name,version,license,direct,homepage,repository,path
"server","json-schema","0.4.0","(AFL-2.1 OR BSD-3-Clause)","false","","http://github.com/kriszyp/json-schema","server/node_modules/json-schema"
"client","rc","1.2.8","(BSD-2-Clause OR MIT OR Apache-2.0)","false","","https://github.com/dominictarr/rc.git","node_modules/rc"
"server","rc","1.2.8","(BSD-2-Clause OR MIT OR Apache-2.0)","false","","https://github.com/dominictarr/rc.git","server/node_modules/rc"
"client","node-forge","1.4.0","(BSD-3-Clause OR GPL-2.0)","false","https://github.com/digitalbazaar/forge","https://github.com/digitalbazaar/forge","node_modules/node-forge"
"client","@fortawesome/free-brands-svg-icons","5.15.4","(CC-BY-4.0 AND MIT)","true","https://fontawesome.com","https://github.com/FortAwesome/Font-Awesome","node_modules/@fortawesome/free-brands-svg-icons"
"client","@fortawesome/free-regular-svg-icons","5.15.4","(CC-BY-4.0 AND MIT)","true","https://fontawesome.com","https://github.com/FortAwesome/Font-Awesome","node_modules/@fortawesome/free-regular-svg-icons"
"client","@fortawesome/free-solid-svg-icons","5.15.4","(CC-BY-4.0 AND MIT)","true","https://fontawesome.com","https://github.com/FortAwesome/Font-Awesome","node_modules/@fortawesome/free-solid-svg-icons"
"client","sha.js","2.4.12","(MIT AND BSD-3-Clause)","false","https://github.com/crypto-browserify/sha.js","git://github.com/crypto-browserify/sha.js.git","node_modules/sha.js"
"server","sha.js","2.4.12","(MIT AND BSD-3-Clause)","false","https://github.com/crypto-browserify/sha.js","git://github.com/crypto-browserify/sha.js.git","server/node_modules/sha.js"
"client","pako","2.1.0","(MIT AND Zlib)","false","","nodeca/pako","node_modules/pako"
"server","pako","1.0.11","(MIT AND Zlib)","false","https://github.com/nodeca/pako","nodeca/pako","server/node_modules/pako"
"client","atob","2.1.2","(MIT OR Apache-2.0)","false","https://git.coolaj86.com/coolaj86/atob.js.git","git://git.coolaj86.com/coolaj86/atob.js.git","node_modules/atob"
"client","type-fest","0.20.2","(MIT OR CC0-1.0)","false","","sindresorhus/type-fest","node_modules/type-fest"
"server","type-fest","0.21.3","(MIT OR CC0-1.0)","false","","sindresorhus/type-fest","server/node_modules/type-fest"
"client","jszip","3.10.1","(MIT OR GPL-3.0-or-later)","true","","https://github.com/Stuk/jszip.git","node_modules/jszip"
